tipo,valor,parceiro,data
Prémio Extra Diário,10,Poke House,2023-06-28 12:45:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-06-28 13:00:00
Prémio Diário,20,Zumub,2023-06-28 22:48:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-06-29 12:00:00
Prémio Extra Diário,10,Poke House,2023-06-29 12:45:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-06-29 13:00:00
Prémio Extra Diário,75,Prozis,2023-06-29 19:00:00
Prémio Diário,20,Zumub,2023-06-29 23:12:00
Prémio Diário,20,Zumub,2023-06-30 07:36:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-06-30 12:00:00
Prémio Extra Diário,10,Poke House,2023-06-30 12:45:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-06-30 13:00:00
Prémio Extra Diário,30,FlixBus,2023-06-30 18:00:00
Prémio Diário,20,Zumub,2023-07-01 08:00:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-07-01 12:00:00
Prémio Extra Diário,10,Poke House,2023-07-01 12:45:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-07-01 13:00:00
Prémio Diário,20,Zumub,2023-07-02 09:24:00
Prémio Semanal,100,–,2023-07-02 09:45:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-07-02 12:00:00
Prémio Extra Diário,10,Poke House,2023-07-02 12:45:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-07-02 13:00:00
Prémio Diário,20,Zumub,2023-07-03 10:48:00
Prémio Semanal,100,–,2023-07-03 11:15:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-07-03 12:00:00
Prémio Extra Diário,10,Poke House,2023-07-03 12:45:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-07-03 13:00:00
Prémio Diário,20,Zumub,2023-07-04 11:12:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-07-04 12:00:00
Prémio Extra Diário,10,Poke House,2023-07-04 12:45:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-07-04 13:00:00
Prémio Extra Diário,15,BYF – Grupo FULLEST,2023-07-05 12:00:00
Prémio Diário,20,–,2023-07-05 12:36:00
Prémio Extra Diário,10,Poke House,2023-07-05 12:45:00
